time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-15 00:00:00+00:00,17,7,3,1
2022-11-16 00:00:00+00:00,39,16,19,5
2022-11-17 00:00:00+00:00,39,25,14,5
2022-11-18 00:00:00+00:00,23,11,9,2
2022-11-19 00:00:00+00:00,11,10,1,1
2022-11-20 00:00:00+00:00,13,12,2,1
2022-11-21 00:00:00+00:00,25,13,15,5
2022-11-22 00:00:00+00:00,61,16,3,2
2022-11-23 00:00:00+00:00,45,16,38,5
2022-11-24 00:00:00+00:00,102,12,11,2
2022-11-25 00:00:00+00:00,28,11,37,3
2022-11-26 00:00:00+00:00,16,10,6,4
2022-11-27 00:00:00+00:00,19,18,1,1
2022-11-28 00:00:00+00:00,34,18,12,4
2022-11-29 00:00:00+00:00,11,10,4,1
