time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-02 00:00:00+00:00,3,3,,
2022-10-03 00:00:00+00:00,37,13,2.0,2.0
2022-10-04 00:00:00+00:00,50,16,6.0,3.0
2022-10-05 00:00:00+00:00,133,24,34.0,5.0
2022-10-06 00:00:00+00:00,83,23,3.0,3.0
2022-10-07 00:00:00+00:00,38,15,1.0,1.0
2022-10-08 00:00:00+00:00,10,9,1.0,1.0
2022-10-09 00:00:00+00:00,25,12,,
2022-10-10 00:00:00+00:00,62,17,16.0,2.0
2022-10-11 00:00:00+00:00,50,15,17.0,5.0
2022-10-12 00:00:00+00:00,61,14,2.0,2.0
2022-10-13 00:00:00+00:00,36,14,20.0,6.0
2022-10-14 00:00:00+00:00,37,18,14.0,8.0
2022-10-15 00:00:00+00:00,10,9,2.0,2.0
2022-10-16 00:00:00+00:00,13,9,,
