time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-05 00:00:00+00:00,9,6,23.0,3.0
2024-07-06 00:00:00+00:00,9,7,2.0,2.0
2024-07-07 00:00:00+00:00,4,4,11.0,2.0
2024-07-08 00:00:00+00:00,6,5,42.0,8.0
2024-07-09 00:00:00+00:00,18,12,64.0,9.0
2024-07-10 00:00:00+00:00,4,4,36.0,5.0
2024-07-11 00:00:00+00:00,14,7,25.0,7.0
2024-07-12 00:00:00+00:00,3,2,5.0,4.0
2024-07-13 00:00:00+00:00,21,2,,
2024-07-14 00:00:00+00:00,7,3,,
2024-07-15 00:00:00+00:00,10,5,18.0,4.0
2024-07-16 00:00:00+00:00,10,7,13.0,8.0
2024-07-17 00:00:00+00:00,30,9,16.0,6.0
2024-07-18 00:00:00+00:00,2,2,104.0,10.0
