time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-27 00:00:00+00:00,42,11,9.0,2.0
2023-02-28 00:00:00+00:00,24,17,28.0,7.0
2023-03-01 00:00:00+00:00,33,18,29.0,6.0
2023-03-02 00:00:00+00:00,68,18,59.0,8.0
2023-03-03 00:00:00+00:00,24,12,31.0,4.0
2023-03-04 00:00:00+00:00,11,10,3.0,2.0
2023-03-05 00:00:00+00:00,12,10,1.0,1.0
2023-03-06 00:00:00+00:00,58,17,16.0,5.0
2023-03-07 00:00:00+00:00,55,15,53.0,10.0
2023-03-08 00:00:00+00:00,79,24,8.0,4.0
2023-03-09 00:00:00+00:00,43,15,15.0,4.0
2023-03-10 00:00:00+00:00,35,20,2.0,1.0
2023-03-11 00:00:00+00:00,19,14,,
2023-03-12 00:00:00+00:00,14,11,3.0,1.0
2023-03-13 00:00:00+00:00,66,7,5.0,1.0
