time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-28 00:00:00+00:00,,,13,4
2024-01-29 00:00:00+00:00,6.0,4.0,58,8
2024-01-30 00:00:00+00:00,1.0,1.0,35,14
2024-01-31 00:00:00+00:00,4.0,2.0,96,10
2024-02-01 00:00:00+00:00,1.0,1.0,37,8
2024-02-02 00:00:00+00:00,2.0,1.0,14,8
2024-02-03 00:00:00+00:00,1.0,1.0,1,1
2024-02-04 00:00:00+00:00,,,4,2
2024-02-05 00:00:00+00:00,4.0,3.0,12,6
2024-02-06 00:00:00+00:00,,,32,10
2024-02-07 00:00:00+00:00,1.0,1.0,42,14
2024-02-08 00:00:00+00:00,1.0,1.0,88,29
2024-02-09 00:00:00+00:00,,,14,11
2024-02-10 00:00:00+00:00,,,1,1
