time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-16 00:00:00+00:00,,,77,14
2025-06-17 00:00:00+00:00,1.0,1.0,55,8
2025-06-18 00:00:00+00:00,3.0,3.0,18,8
2025-06-19 00:00:00+00:00,,,10,4
2025-06-20 00:00:00+00:00,2.0,2.0,43,8
2025-06-21 00:00:00+00:00,1.0,1.0,1,1
2025-06-22 00:00:00+00:00,,,2,2
2025-06-23 00:00:00+00:00,,,35,9
2025-06-24 00:00:00+00:00,1.0,1.0,52,8
2025-06-25 00:00:00+00:00,3.0,3.0,150,15
2025-06-26 00:00:00+00:00,13.0,4.0,56,10
2025-06-27 00:00:00+00:00,2.0,2.0,55,6
2025-06-28 00:00:00+00:00,2.0,2.0,1,1
2025-06-29 00:00:00+00:00,6.0,4.0,5,1
