time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-10 00:00:00+00:00,,,8,7
2023-03-11 00:00:00+00:00,,,3,2
2023-03-12 00:00:00+00:00,,,2,2
2023-03-13 00:00:00+00:00,12.0,6.0,27,11
2023-03-14 00:00:00+00:00,,,46,17
2023-03-15 00:00:00+00:00,6.0,2.0,13,10
2023-03-16 00:00:00+00:00,,,25,19
2023-03-17 00:00:00+00:00,1.0,1.0,9,8
2023-03-18 00:00:00+00:00,1.0,1.0,4,3
2023-03-19 00:00:00+00:00,,,3,2
2023-03-20 00:00:00+00:00,2.0,2.0,29,11
2023-03-21 00:00:00+00:00,,,81,16
2023-03-22 00:00:00+00:00,2.0,2.0,15,11
2023-03-23 00:00:00+00:00,,,21,15
2023-03-24 00:00:00+00:00,,,2,2
