time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-04 00:00:00+00:00,1.0,1.0,,
2023-03-05 00:00:00+00:00,,,5.0,5.0
2023-03-06 00:00:00+00:00,,,14.0,10.0
2023-03-07 00:00:00+00:00,,,18.0,11.0
2023-03-08 00:00:00+00:00,,,18.0,11.0
2023-03-09 00:00:00+00:00,,,21.0,14.0
2023-03-10 00:00:00+00:00,,,10.0,8.0
2023-03-11 00:00:00+00:00,,,3.0,2.0
2023-03-12 00:00:00+00:00,,,2.0,2.0
2023-03-13 00:00:00+00:00,12.0,6.0,27.0,11.0
2023-03-14 00:00:00+00:00,,,46.0,17.0
2023-03-15 00:00:00+00:00,6.0,2.0,13.0,10.0
2023-03-16 00:00:00+00:00,,,25.0,19.0
2023-03-17 00:00:00+00:00,1.0,1.0,9.0,8.0
2023-03-18 00:00:00+00:00,1.0,1.0,2.0,2.0
