time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-06 00:00:00+00:00,,,4,3
2024-05-07 00:00:00+00:00,1.0,1.0,25,14
2024-05-08 00:00:00+00:00,,,34,17
2024-05-09 00:00:00+00:00,1.0,1.0,21,14
2024-05-10 00:00:00+00:00,3.0,3.0,21,15
2024-05-11 00:00:00+00:00,2.0,2.0,6,6
2024-05-12 00:00:00+00:00,,,8,3
2024-05-13 00:00:00+00:00,,,37,28
2024-05-14 00:00:00+00:00,2.0,2.0,36,24
2024-05-15 00:00:00+00:00,1.0,1.0,21,17
2024-05-16 00:00:00+00:00,2.0,1.0,22,16
2024-05-17 00:00:00+00:00,2.0,2.0,19,9
2024-05-18 00:00:00+00:00,,,3,2
2024-05-19 00:00:00+00:00,,,2,1
2024-05-20 00:00:00+00:00,,,10,6
