time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-18 00:00:00+00:00,3.0,3.0,,
2025-10-19 00:00:00+00:00,,,1.0,1.0
2025-10-20 00:00:00+00:00,4.0,1.0,16.0,3.0
2025-10-21 00:00:00+00:00,5.0,3.0,5.0,3.0
2025-10-22 00:00:00+00:00,4.0,2.0,10.0,5.0
2025-10-23 00:00:00+00:00,4.0,2.0,6.0,2.0
2025-10-24 00:00:00+00:00,3.0,1.0,14.0,6.0
2025-10-25 00:00:00+00:00,12.0,5.0,5.0,5.0
2025-10-26 00:00:00+00:00,3.0,1.0,48.0,6.0
2025-10-27 00:00:00+00:00,7.0,4.0,7.0,6.0
2025-10-28 00:00:00+00:00,13.0,7.0,128.0,8.0
2025-10-29 00:00:00+00:00,7.0,4.0,51.0,6.0
2025-10-30 00:00:00+00:00,15.0,4.0,9.0,7.0
2025-10-31 00:00:00+00:00,12.0,4.0,21.0,5.0
