time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-29 00:00:00+00:00,,,7.0,2.0
2024-10-30 00:00:00+00:00,13.0,6.0,2.0,2.0
2024-10-31 00:00:00+00:00,8.0,5.0,3.0,2.0
2024-11-01 00:00:00+00:00,19.0,4.0,4.0,2.0
2024-11-02 00:00:00+00:00,6.0,4.0,17.0,4.0
2024-11-03 00:00:00+00:00,6.0,4.0,1.0,1.0
2024-11-04 00:00:00+00:00,10.0,3.0,3.0,2.0
2024-11-05 00:00:00+00:00,10.0,4.0,29.0,5.0
2024-11-06 00:00:00+00:00,23.0,12.0,14.0,8.0
2024-11-07 00:00:00+00:00,16.0,8.0,5.0,4.0
2024-11-08 00:00:00+00:00,13.0,6.0,11.0,6.0
2024-11-09 00:00:00+00:00,2.0,2.0,1.0,1.0
2024-11-10 00:00:00+00:00,16.0,4.0,,
2024-11-11 00:00:00+00:00,14.0,7.0,1.0,1.0
2024-11-12 00:00:00+00:00,12.0,9.0,4.0,4.0
