time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-04 00:00:00+00:00,,,1.0,1.0
2024-07-05 00:00:00+00:00,6.0,4.0,16.0,2.0
2024-07-06 00:00:00+00:00,5.0,5.0,2.0,2.0
2024-07-07 00:00:00+00:00,4.0,4.0,7.0,3.0
2024-07-08 00:00:00+00:00,6.0,5.0,29.0,6.0
2024-07-09 00:00:00+00:00,18.0,8.0,13.0,6.0
2024-07-10 00:00:00+00:00,20.0,5.0,17.0,8.0
2024-07-11 00:00:00+00:00,9.0,3.0,22.0,8.0
2024-07-12 00:00:00+00:00,5.0,2.0,2.0,2.0
2024-07-13 00:00:00+00:00,5.0,2.0,,
2024-07-14 00:00:00+00:00,11.0,6.0,1.0,1.0
2024-07-15 00:00:00+00:00,10.0,5.0,13.0,4.0
2024-07-16 00:00:00+00:00,25.0,9.0,20.0,6.0
2024-07-17 00:00:00+00:00,27.0,13.0,15.0,6.0
2024-07-18 00:00:00+00:00,6.0,4.0,9.0,4.0
