time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-09 00:00:00+00:00,9,9,2.0,2.0
2021-09-10 00:00:00+00:00,18,13,12.0,4.0
2021-09-11 00:00:00+00:00,13,10,1.0,1.0
2021-09-12 00:00:00+00:00,22,11,5.0,2.0
2021-09-13 00:00:00+00:00,18,15,6.0,3.0
2021-09-14 00:00:00+00:00,29,15,12.0,6.0
2021-09-15 00:00:00+00:00,19,13,23.0,6.0
2021-09-16 00:00:00+00:00,12,11,,
2021-09-17 00:00:00+00:00,20,14,,
2021-09-18 00:00:00+00:00,11,10,,
2021-09-19 00:00:00+00:00,10,9,,
2021-09-20 00:00:00+00:00,16,13,,
2021-09-21 00:00:00+00:00,22,16,,
2021-09-22 00:00:00+00:00,22,14,,
