time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-17 00:00:00+00:00,17,15,,
2022-11-18 00:00:00+00:00,23,11,10.0,4.0
2022-11-19 00:00:00+00:00,10,9,,
2022-11-20 00:00:00+00:00,12,11,1.0,1.0
2022-11-21 00:00:00+00:00,25,13,3.0,2.0
2022-11-22 00:00:00+00:00,25,14,3.0,3.0
2022-11-23 00:00:00+00:00,44,15,3.0,1.0
2022-11-24 00:00:00+00:00,20,14,5.0,4.0
2022-11-25 00:00:00+00:00,29,12,3.0,3.0
2022-11-26 00:00:00+00:00,34,10,,
2022-11-27 00:00:00+00:00,18,17,,
2022-11-28 00:00:00+00:00,63,21,20.0,7.0
2022-11-29 00:00:00+00:00,42,19,9.0,5.0
2022-11-30 00:00:00+00:00,25,14,19.0,3.0
2022-12-01 00:00:00+00:00,31,9,18.0,5.0
