time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-02 00:00:00+00:00,1,1,4.0,2.0
2024-07-03 00:00:00+00:00,13,9,16.0,6.0
2024-07-04 00:00:00+00:00,1,1,7.0,3.0
2024-07-05 00:00:00+00:00,6,4,16.0,2.0
2024-07-06 00:00:00+00:00,5,5,2.0,2.0
2024-07-07 00:00:00+00:00,4,4,7.0,3.0
2024-07-08 00:00:00+00:00,6,5,29.0,6.0
2024-07-09 00:00:00+00:00,18,8,13.0,6.0
2024-07-10 00:00:00+00:00,20,5,17.0,8.0
2024-07-11 00:00:00+00:00,9,3,22.0,8.0
2024-07-12 00:00:00+00:00,5,2,2.0,2.0
2024-07-13 00:00:00+00:00,5,2,,
2024-07-14 00:00:00+00:00,11,6,1.0,1.0
2024-07-15 00:00:00+00:00,10,5,13.0,4.0
2024-07-16 00:00:00+00:00,14,8,8.0,4.0
