time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-18 00:00:00+00:00,42,23,1.0,1.0
2025-10-19 00:00:00+00:00,44,26,,
2025-10-20 00:00:00+00:00,46,28,16.0,3.0
2025-10-21 00:00:00+00:00,67,38,4.0,3.0
2025-10-22 00:00:00+00:00,69,32,4.0,3.0
2025-10-23 00:00:00+00:00,65,33,3.0,3.0
2025-10-24 00:00:00+00:00,76,32,2.0,2.0
2025-10-25 00:00:00+00:00,54,26,1.0,1.0
2025-10-26 00:00:00+00:00,42,25,,
2025-10-27 00:00:00+00:00,60,34,6.0,2.0
2025-10-28 00:00:00+00:00,87,47,6.0,4.0
2025-10-29 00:00:00+00:00,48,26,2.0,2.0
2025-10-30 00:00:00+00:00,68,33,4.0,4.0
2025-10-31 00:00:00+00:00,59,27,3.0,3.0
2025-11-01 00:00:00+00:00,2,2,,
