time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-08 00:00:00+00:00,54,14,10.0,3.0
2025-05-09 00:00:00+00:00,67,13,59.0,3.0
2025-05-10 00:00:00+00:00,4,4,2.0,1.0
2025-05-12 00:00:00+00:00,41,13,71.0,2.0
2025-05-13 00:00:00+00:00,41,7,6.0,2.0
2025-05-14 00:00:00+00:00,125,39,39.0,3.0
2025-05-15 00:00:00+00:00,224,47,29.0,3.0
2025-05-16 00:00:00+00:00,29,17,,
2025-05-17 00:00:00+00:00,42,22,,
2025-05-18 00:00:00+00:00,23,5,,
2025-05-19 00:00:00+00:00,62,8,50.0,1.0
2025-05-20 00:00:00+00:00,9,4,45.0,3.0
2025-05-21 00:00:00+00:00,24,4,9.0,2.0
