time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-07 00:00:00+00:00,4,3,,
2023-10-08 00:00:00+00:00,10,7,,
2023-10-09 00:00:00+00:00,82,12,23.0,2.0
2023-10-10 00:00:00+00:00,65,18,1.0,1.0
2023-10-11 00:00:00+00:00,18,9,31.0,3.0
2023-10-12 00:00:00+00:00,39,11,35.0,3.0
2023-10-13 00:00:00+00:00,43,14,3.0,2.0
2023-10-14 00:00:00+00:00,10,7,2.0,1.0
2023-10-15 00:00:00+00:00,45,6,,
2023-10-16 00:00:00+00:00,27,9,8.0,8.0
2023-10-17 00:00:00+00:00,39,12,,
2023-10-18 00:00:00+00:00,56,9,4.0,3.0
2023-10-19 00:00:00+00:00,26,6,10.0,1.0
2023-10-20 00:00:00+00:00,9,3,71.0,3.0
2023-10-21 00:00:00+00:00,1,1,,
