time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-05 00:00:00+00:00,82,38,,
2022-03-06 00:00:00+00:00,11,9,9.0,1.0
2022-03-07 00:00:00+00:00,383,50,,
2022-03-08 00:00:00+00:00,527,61,1.0,1.0
2022-03-09 00:00:00+00:00,462,60,,
2022-03-10 00:00:00+00:00,515,58,3.0,3.0
2022-03-11 00:00:00+00:00,207,50,9.0,2.0
2022-03-12 00:00:00+00:00,162,43,,
2022-03-13 00:00:00+00:00,93,45,,
2022-03-14 00:00:00+00:00,438,57,16.0,6.0
2022-03-15 00:00:00+00:00,346,58,2.0,2.0
2022-03-16 00:00:00+00:00,482,66,,
2022-03-17 00:00:00+00:00,362,62,1.0,1.0
2022-03-18 00:00:00+00:00,365,61,,
2022-03-19 00:00:00+00:00,23,18,,
