time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-02 00:00:00+00:00,,,8,3
2025-06-03 00:00:00+00:00,1.0,1.0,4,4
2025-06-04 00:00:00+00:00,1.0,1.0,6,1
2025-06-05 00:00:00+00:00,18.0,6.0,11,3
2025-06-06 00:00:00+00:00,46.0,10.0,17,7
2025-06-07 00:00:00+00:00,11.0,4.0,3,2
2025-06-08 00:00:00+00:00,10.0,3.0,5,1
2025-06-09 00:00:00+00:00,56.0,10.0,37,8
2025-06-10 00:00:00+00:00,52.0,13.0,52,4
2025-06-11 00:00:00+00:00,10.0,4.0,16,4
2025-06-12 00:00:00+00:00,43.0,10.0,62,4
2025-06-13 00:00:00+00:00,5.0,4.0,6,2
2025-06-14 00:00:00+00:00,,,9,1
