time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-01 00:00:00+00:00,1,1,,
2024-01-02 00:00:00+00:00,3,2,,
2024-01-03 00:00:00+00:00,8,5,1.0,1.0
2024-01-04 00:00:00+00:00,7,4,1.0,1.0
2024-01-05 00:00:00+00:00,5,3,40.0,4.0
2024-01-06 00:00:00+00:00,9,4,,
2024-01-08 00:00:00+00:00,5,4,8.0,2.0
2024-01-09 00:00:00+00:00,6,5,2.0,2.0
2024-01-10 00:00:00+00:00,5,4,3.0,1.0
2024-01-11 00:00:00+00:00,6,5,2.0,1.0
2024-01-12 00:00:00+00:00,4,3,5.0,2.0
2024-01-13 00:00:00+00:00,6,5,7.0,3.0
