time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-01 00:00:00+00:00,40,22,,
2025-11-02 00:00:00+00:00,42,25,,
2025-11-03 00:00:00+00:00,68,38,2.0,2.0
2025-11-04 00:00:00+00:00,69,38,1.0,1.0
2025-11-05 00:00:00+00:00,64,29,6.0,3.0
2025-11-06 00:00:00+00:00,89,48,2.0,1.0
2025-11-07 00:00:00+00:00,51,30,,
2025-11-08 00:00:00+00:00,42,25,3.0,3.0
2025-11-09 00:00:00+00:00,42,25,1.0,1.0
2025-11-10 00:00:00+00:00,86,39,1.0,1.0
2025-11-11 00:00:00+00:00,85,42,,
2025-11-12 00:00:00+00:00,63,34,4.0,2.0
2025-11-13 00:00:00+00:00,61,33,1.0,1.0
2025-11-14 00:00:00+00:00,54,32,,
2025-11-15 00:00:00+00:00,2,2,,
