time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-17 00:00:00+00:00,6,5,,
2023-09-18 00:00:00+00:00,106,23,13.0,4.0
2023-09-19 00:00:00+00:00,128,20,24.0,4.0
2023-09-20 00:00:00+00:00,148,29,15.0,5.0
2023-09-21 00:00:00+00:00,118,26,14.0,5.0
2023-09-22 00:00:00+00:00,91,19,3.0,3.0
2023-09-23 00:00:00+00:00,13,12,,
2023-09-24 00:00:00+00:00,32,13,,
2023-09-25 00:00:00+00:00,37,18,6.0,4.0
2023-09-26 00:00:00+00:00,47,16,13.0,4.0
2023-09-27 00:00:00+00:00,36,14,110.0,6.0
2023-09-28 00:00:00+00:00,40,14,4.0,3.0
2023-09-29 00:00:00+00:00,38,16,10.0,3.0
2023-09-30 00:00:00+00:00,11,10,1.0,1.0
2023-10-01 00:00:00+00:00,96,11,,
