time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-26 00:00:00+00:00,1,1,,
2024-08-27 00:00:00+00:00,8,6,38.0,2.0
2024-08-28 00:00:00+00:00,3,3,5.0,4.0
2024-08-29 00:00:00+00:00,4,4,2.0,2.0
2024-08-30 00:00:00+00:00,1,1,5.0,1.0
2024-08-31 00:00:00+00:00,7,7,1.0,1.0
2024-09-01 00:00:00+00:00,5,4,,
2024-09-02 00:00:00+00:00,3,3,,
2024-09-03 00:00:00+00:00,3,2,27.0,5.0
2024-09-04 00:00:00+00:00,8,4,50.0,3.0
2024-09-05 00:00:00+00:00,11,8,17.0,5.0
2024-09-06 00:00:00+00:00,10,6,26.0,4.0
2024-09-08 00:00:00+00:00,18,12,4.0,3.0
2024-09-09 00:00:00+00:00,7,4,113.0,3.0
