time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-21 00:00:00+00:00,2.0,2.0,,
2021-08-23 00:00:00+00:00,18.0,13.0,3.0,2.0
2021-08-24 00:00:00+00:00,23.0,16.0,9.0,2.0
2021-08-25 00:00:00+00:00,22.0,13.0,15.0,2.0
2021-08-26 00:00:00+00:00,22.0,19.0,33.0,5.0
2021-08-27 00:00:00+00:00,2.0,2.0,1.0,1.0
2021-08-28 00:00:00+00:00,,,3.0,1.0
2021-08-30 00:00:00+00:00,6.0,4.0,8.0,2.0
2021-08-31 00:00:00+00:00,27.0,18.0,41.0,4.0
2021-09-01 00:00:00+00:00,14.0,12.0,2.0,2.0
2021-09-02 00:00:00+00:00,20.0,15.0,6.0,2.0
2021-09-03 00:00:00+00:00,13.0,7.0,1.0,1.0
