time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-06 00:00:00+00:00,24.0,4.0,,
2024-03-07 00:00:00+00:00,70.0,4.0,1.0,1.0
2024-03-08 00:00:00+00:00,35.0,4.0,,
2024-03-10 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-03-11 00:00:00+00:00,20.0,5.0,,
2024-03-12 00:00:00+00:00,12.0,5.0,5.0,3.0
2024-03-13 00:00:00+00:00,13.0,6.0,,
2024-03-14 00:00:00+00:00,10.0,3.0,1.0,1.0
2024-03-15 00:00:00+00:00,8.0,3.0,,
2024-03-16 00:00:00+00:00,1.0,1.0,,
2024-03-17 00:00:00+00:00,,,1.0,1.0
2024-03-18 00:00:00+00:00,47.0,8.0,11.0,5.0
2024-03-19 00:00:00+00:00,40.0,4.0,2.0,2.0
