time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-24 00:00:00+00:00,10.0,3.0,,
2023-11-25 00:00:00+00:00,2.0,2.0,,
2023-11-26 00:00:00+00:00,1.0,1.0,,
2023-11-27 00:00:00+00:00,27.0,5.0,50.0,6.0
2023-11-28 00:00:00+00:00,45.0,5.0,21.0,2.0
2023-11-29 00:00:00+00:00,20.0,5.0,17.0,4.0
2023-11-30 00:00:00+00:00,38.0,4.0,5.0,2.0
2023-12-01 00:00:00+00:00,4.0,1.0,23.0,2.0
2023-12-02 00:00:00+00:00,4.0,1.0,1.0,1.0
2023-12-04 00:00:00+00:00,17.0,8.0,38.0,4.0
2023-12-05 00:00:00+00:00,14.0,7.0,8.0,2.0
2023-12-06 00:00:00+00:00,4.0,4.0,,
2023-12-07 00:00:00+00:00,,,1.0,1.0
