time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-24 00:00:00+00:00,,,1.0,1.0
2024-08-26 00:00:00+00:00,23.0,5.0,1.0,1.0
2024-08-27 00:00:00+00:00,15.0,7.0,3.0,1.0
2024-08-28 00:00:00+00:00,9.0,4.0,,
2024-08-29 00:00:00+00:00,28.0,5.0,,
2024-08-31 00:00:00+00:00,3.0,3.0,1.0,1.0
2024-09-02 00:00:00+00:00,3.0,2.0,,
2024-09-03 00:00:00+00:00,19.0,5.0,14.0,3.0
2024-09-04 00:00:00+00:00,3.0,1.0,1.0,1.0
2024-09-05 00:00:00+00:00,8.0,7.0,4.0,2.0
2024-09-06 00:00:00+00:00,3.0,3.0,,
