time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-04 00:00:00+00:00,57.0,8.0,,
2023-10-05 00:00:00+00:00,26.0,7.0,2.0,2.0
2023-10-06 00:00:00+00:00,2.0,1.0,1.0,1.0
2023-10-07 00:00:00+00:00,3.0,1.0,,
2023-10-09 00:00:00+00:00,37.0,7.0,,
2023-10-10 00:00:00+00:00,13.0,5.0,33.0,1.0
2023-10-11 00:00:00+00:00,9.0,3.0,26.0,4.0
2023-10-12 00:00:00+00:00,25.0,6.0,,
2023-10-13 00:00:00+00:00,4.0,4.0,2.0,2.0
2023-10-15 00:00:00+00:00,3.0,1.0,,
2023-10-16 00:00:00+00:00,11.0,6.0,10.0,1.0
2023-10-17 00:00:00+00:00,22.0,4.0,19.0,4.0
2023-10-18 00:00:00+00:00,,,4.0,1.0
