time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-25 00:00:00+00:00,28,4,1.0,1.0
2022-04-26 00:00:00+00:00,24,4,,
2022-04-27 00:00:00+00:00,2,2,,
2022-04-28 00:00:00+00:00,23,3,,
2022-04-29 00:00:00+00:00,10,6,1.0,1.0
2022-04-30 00:00:00+00:00,3,2,,
2022-05-01 00:00:00+00:00,3,2,,
2022-05-02 00:00:00+00:00,4,3,7.0,2.0
2022-05-03 00:00:00+00:00,16,5,,
2022-05-04 00:00:00+00:00,3,2,4.0,1.0
2022-05-05 00:00:00+00:00,1,1,,
2022-05-06 00:00:00+00:00,6,6,1.0,1.0
2022-05-07 00:00:00+00:00,1,1,11.0,2.0
