time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-20 00:00:00+00:00,27.0,4.0,6.0,3.0
2022-04-21 00:00:00+00:00,31.0,3.0,,
2022-04-22 00:00:00+00:00,13.0,3.0,2.0,2.0
2022-04-23 00:00:00+00:00,10.0,3.0,1.0,1.0
2022-04-24 00:00:00+00:00,,,3.0,1.0
2022-04-25 00:00:00+00:00,29.0,4.0,1.0,1.0
2022-04-26 00:00:00+00:00,24.0,4.0,,
2022-04-27 00:00:00+00:00,2.0,2.0,,
2022-04-28 00:00:00+00:00,23.0,3.0,,
2022-04-29 00:00:00+00:00,10.0,6.0,1.0,1.0
2022-04-30 00:00:00+00:00,3.0,2.0,,
2022-05-01 00:00:00+00:00,3.0,2.0,,
2022-05-02 00:00:00+00:00,4.0,3.0,7.0,2.0
2022-05-03 00:00:00+00:00,16.0,5.0,,
2022-05-04 00:00:00+00:00,,,4.0,1.0
