time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-25 00:00:00+00:00,140,32,,
2024-12-26 00:00:00+00:00,125,24,,
2024-12-27 00:00:00+00:00,148,25,,
2024-12-28 00:00:00+00:00,124,29,,
2024-12-29 00:00:00+00:00,107,25,2.0,1.0
2024-12-30 00:00:00+00:00,142,29,37.0,1.0
2024-12-31 00:00:00+00:00,117,21,26.0,2.0
2025-01-01 00:00:00+00:00,119,25,,
2025-01-02 00:00:00+00:00,139,37,2.0,1.0
2025-01-03 00:00:00+00:00,110,42,,
2025-01-04 00:00:00+00:00,103,23,,
2025-01-05 00:00:00+00:00,134,23,1.0,1.0
2025-01-06 00:00:00+00:00,119,30,,
2025-01-07 00:00:00+00:00,82,25,3.0,3.0
2025-01-08 00:00:00+00:00,24,11,,
