time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-01 00:00:00+00:00,33,16,,
2025-01-02 00:00:00+00:00,139,37,2.0,1.0
2025-01-03 00:00:00+00:00,110,42,,
2025-01-04 00:00:00+00:00,103,23,,
2025-01-05 00:00:00+00:00,134,23,1.0,1.0
2025-01-06 00:00:00+00:00,119,30,,
2025-01-07 00:00:00+00:00,82,25,3.0,3.0
2025-01-08 00:00:00+00:00,112,33,,
2025-01-09 00:00:00+00:00,118,27,1.0,1.0
2025-01-10 00:00:00+00:00,99,28,,
2025-01-11 00:00:00+00:00,155,28,,
2025-01-12 00:00:00+00:00,147,32,,
2025-01-13 00:00:00+00:00,115,27,,
2025-01-14 00:00:00+00:00,105,24,,
2025-01-15 00:00:00+00:00,96,21,,
