time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-18 00:00:00+00:00,159,100,,
2025-03-19 00:00:00+00:00,221,123,,
2025-03-20 00:00:00+00:00,403,179,,
2025-03-21 00:00:00+00:00,249,134,,
2025-03-22 00:00:00+00:00,330,141,,
2025-03-23 00:00:00+00:00,320,142,1.0,1.0
2025-03-24 00:00:00+00:00,242,122,3.0,1.0
2025-03-25 00:00:00+00:00,323,167,,
2025-03-26 00:00:00+00:00,241,107,,
2025-03-27 00:00:00+00:00,213,113,,
2025-03-28 00:00:00+00:00,317,140,,
2025-03-29 00:00:00+00:00,315,130,,
2025-03-30 00:00:00+00:00,481,158,,
2025-03-31 00:00:00+00:00,245,121,,
