time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-29 00:00:00+00:00,2.0,1.0,17.0,2.0
2022-07-31 00:00:00+00:00,1.0,1.0,1.0,1.0
2022-08-02 00:00:00+00:00,,,1.0,1.0
2022-08-03 00:00:00+00:00,7.0,4.0,18.0,2.0
2022-08-04 00:00:00+00:00,5.0,3.0,41.0,4.0
2022-08-06 00:00:00+00:00,7.0,4.0,2.0,2.0
2022-08-07 00:00:00+00:00,10.0,4.0,,
2022-08-08 00:00:00+00:00,7.0,4.0,31.0,3.0
2022-08-09 00:00:00+00:00,5.0,4.0,2.0,1.0
2022-08-10 00:00:00+00:00,5.0,3.0,71.0,5.0
2022-08-11 00:00:00+00:00,9.0,5.0,42.0,3.0
2022-08-12 00:00:00+00:00,3.0,2.0,,
