time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-26 00:00:00+00:00,2.0,2.0,13.0,4.0
2024-03-27 00:00:00+00:00,,,8.0,2.0
2024-03-28 00:00:00+00:00,2.0,2.0,43.0,5.0
2024-03-29 00:00:00+00:00,4.0,3.0,11.0,4.0
2024-03-30 00:00:00+00:00,5.0,4.0,14.0,3.0
2024-04-01 00:00:00+00:00,2.0,2.0,,
2024-04-02 00:00:00+00:00,3.0,3.0,3.0,2.0
2024-04-03 00:00:00+00:00,1.0,1.0,9.0,2.0
2024-04-04 00:00:00+00:00,6.0,4.0,1.0,1.0
2024-04-05 00:00:00+00:00,,,2.0,1.0
2024-04-06 00:00:00+00:00,1.0,1.0,,
2024-04-07 00:00:00+00:00,,,26.0,3.0
2024-04-08 00:00:00+00:00,2.0,2.0,62.0,2.0
2024-04-09 00:00:00+00:00,2.0,2.0,22.0,1.0
