time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-17 00:00:00+00:00,9,1,3,3
2023-06-18 00:00:00+00:00,4,2,43,10
2023-06-19 00:00:00+00:00,7,6,112,26
2023-06-20 00:00:00+00:00,20,9,221,36
2023-06-21 00:00:00+00:00,14,9,95,30
2023-06-22 00:00:00+00:00,6,6,77,37
2023-06-23 00:00:00+00:00,6,6,63,18
2023-06-24 00:00:00+00:00,3,3,38,8
2023-06-25 00:00:00+00:00,1,1,16,9
2023-06-26 00:00:00+00:00,8,6,53,26
2023-06-27 00:00:00+00:00,8,4,92,29
2023-06-28 00:00:00+00:00,9,6,104,27
2023-06-29 00:00:00+00:00,3,3,108,33
2023-06-30 00:00:00+00:00,9,6,100,32
2023-07-01 00:00:00+00:00,1,1,9,5
