time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-05 00:00:00+00:00,3,2,141,7
2023-11-06 00:00:00+00:00,2,2,149,34
2023-11-07 00:00:00+00:00,4,3,194,39
2023-11-08 00:00:00+00:00,10,7,302,44
2023-11-09 00:00:00+00:00,8,5,249,31
2023-11-10 00:00:00+00:00,6,3,281,35
2023-11-11 00:00:00+00:00,6,4,44,10
2023-11-12 00:00:00+00:00,4,3,24,11
2023-11-13 00:00:00+00:00,5,5,187,36
2023-11-14 00:00:00+00:00,4,4,433,58
2023-11-15 00:00:00+00:00,4,4,1325,33
2023-11-16 00:00:00+00:00,17,10,467,47
2023-11-17 00:00:00+00:00,7,5,87,22
2023-11-18 00:00:00+00:00,5,5,149,16
2023-11-19 00:00:00+00:00,1,1,22,1
