time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-13 00:00:00+00:00,16,11,,
2025-09-14 00:00:00+00:00,23,14,,
2025-09-15 00:00:00+00:00,25,15,17.0,2.0
2025-09-16 00:00:00+00:00,80,22,13.0,4.0
2025-09-17 00:00:00+00:00,34,23,4.0,2.0
2025-09-18 00:00:00+00:00,26,17,1.0,1.0
2025-09-19 00:00:00+00:00,27,17,9.0,1.0
2025-09-20 00:00:00+00:00,18,13,,
2025-09-21 00:00:00+00:00,18,13,,
2025-09-22 00:00:00+00:00,31,20,5.0,3.0
2025-09-23 00:00:00+00:00,42,22,8.0,5.0
2025-09-24 00:00:00+00:00,82,43,,
2025-09-25 00:00:00+00:00,110,56,2.0,2.0
2025-09-26 00:00:00+00:00,45,27,2.0,2.0
2025-09-27 00:00:00+00:00,2,2,,
