time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-23 00:00:00+00:00,12.0,4.0,18,2
2024-10-24 00:00:00+00:00,13.0,2.0,61,6
2024-10-25 00:00:00+00:00,10.0,3.0,8,3
2024-10-26 00:00:00+00:00,,,1,1
2024-10-27 00:00:00+00:00,,,12,1
2024-10-28 00:00:00+00:00,2.0,2.0,3,2
2024-10-29 00:00:00+00:00,7.0,3.0,14,6
2024-10-30 00:00:00+00:00,9.0,4.0,12,9
2024-10-31 00:00:00+00:00,11.0,3.0,5,3
2024-11-01 00:00:00+00:00,7.0,4.0,9,3
2024-11-02 00:00:00+00:00,,,1,1
2024-11-03 00:00:00+00:00,,,3,3
2024-11-04 00:00:00+00:00,4.0,2.0,14,7
2024-11-05 00:00:00+00:00,9.0,4.0,26,5
2024-11-06 00:00:00+00:00,,,1,1
