time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-24 00:00:00+00:00,,,1.0,1.0
2021-12-27 00:00:00+00:00,,,6.0,1.0
2021-12-28 00:00:00+00:00,,,42.0,6.0
2021-12-29 00:00:00+00:00,,,3.0,2.0
2021-12-30 00:00:00+00:00,,,2.0,1.0
2021-12-31 00:00:00+00:00,2.0,1.0,5.0,3.0
2022-01-01 00:00:00+00:00,1.0,1.0,,
2022-01-02 00:00:00+00:00,,,10.0,1.0
2022-01-03 00:00:00+00:00,1.0,1.0,140.0,2.0
2022-01-04 00:00:00+00:00,48.0,14.0,19.0,4.0
2022-01-05 00:00:00+00:00,27.0,9.0,3.0,2.0
2022-01-06 00:00:00+00:00,22.0,11.0,3.0,1.0
