time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-23 00:00:00+00:00,1.0,1.0,1,1
2025-03-24 00:00:00+00:00,30.0,7.0,23,2
2025-03-25 00:00:00+00:00,25.0,6.0,7,4
2025-03-26 00:00:00+00:00,2.0,2.0,5,2
2025-03-27 00:00:00+00:00,13.0,5.0,36,5
2025-03-28 00:00:00+00:00,57.0,5.0,3,3
2025-03-29 00:00:00+00:00,1.0,1.0,1,1
2025-03-30 00:00:00+00:00,1.0,1.0,1,1
2025-03-31 00:00:00+00:00,18.0,9.0,5,3
2025-04-01 00:00:00+00:00,51.0,7.0,1,1
2025-04-02 00:00:00+00:00,62.0,6.0,3,2
2025-04-03 00:00:00+00:00,51.0,7.0,4,3
2025-04-04 00:00:00+00:00,12.0,8.0,11,5
2025-04-05 00:00:00+00:00,,,1,1
