url_path,views_total,views_unique
/idaholab/HERON,47,30
/idaholab/HERON/blob/devel/tests/integration_tests/XML_check/optimization_type_BO_mean_NPV/heron_input.xml,14,1
/idaholab/HERON/releases/tag/FIRSTAdvancedWorkshop,12,8
/idaholab/HERON/blob/devel/tests/integration_tests/XML_check/optimization_type_mean_LC/heron_input__opt_LC_Capex.xml,12,1
/idaholab/HERON/blob/devel/tests/integration_tests/XML_check/optimization_type_mean_NPV/heron_input.xml,10,2
/idaholab/HERON/wiki,7,7
/idaholab/HERON/pulls,5,2
/idaholab/HERON/releases,5,1
/idaholab/HERON/blob/devel/tests/integration_tests/XML_check/optimization_type_VaR_NPV/heron_input.xml,4,2
/idaholab/HERON/issues/388,3,2
