time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-10 00:00:00+00:00,,,5,4
2024-10-11 00:00:00+00:00,7.0,3.0,41,6
2024-10-12 00:00:00+00:00,1.0,1.0,1,1
2024-10-14 00:00:00+00:00,11.0,5.0,17,4
2024-10-15 00:00:00+00:00,7.0,3.0,15,2
2024-10-16 00:00:00+00:00,17.0,5.0,13,6
2024-10-17 00:00:00+00:00,6.0,2.0,12,4
2024-10-18 00:00:00+00:00,,,10,2
2024-10-19 00:00:00+00:00,1.0,1.0,1,1
2024-10-20 00:00:00+00:00,1.0,1.0,12,1
2024-10-21 00:00:00+00:00,5.0,1.0,2,2
2024-10-22 00:00:00+00:00,1.0,1.0,10,2
2024-10-23 00:00:00+00:00,12.0,4.0,18,2
