time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-08 00:00:00+00:00,,,3.0,1.0
2021-08-09 00:00:00+00:00,1.0,1.0,32.0,5.0
2021-08-10 00:00:00+00:00,,,32.0,3.0
2021-08-11 00:00:00+00:00,2.0,2.0,18.0,2.0
2021-08-12 00:00:00+00:00,,,1.0,1.0
2021-08-14 00:00:00+00:00,1.0,1.0,,
2021-08-15 00:00:00+00:00,,,34.0,3.0
2021-08-16 00:00:00+00:00,,,13.0,4.0
2021-08-17 00:00:00+00:00,,,5.0,3.0
2021-08-18 00:00:00+00:00,1.0,1.0,6.0,2.0
2021-08-19 00:00:00+00:00,,,3.0,1.0
2021-08-20 00:00:00+00:00,,,65.0,7.0
2021-08-21 00:00:00+00:00,,,1.0,1.0
