time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-17 00:00:00+00:00,4.0,2.0,50,9
2022-10-18 00:00:00+00:00,1.0,1.0,4,2
2022-10-19 00:00:00+00:00,3.0,2.0,46,11
2022-10-20 00:00:00+00:00,,,2,1
2022-10-21 00:00:00+00:00,1.0,1.0,36,4
2022-10-22 00:00:00+00:00,2.0,1.0,1,1
2022-10-23 00:00:00+00:00,4.0,2.0,3,1
2022-10-24 00:00:00+00:00,2.0,1.0,12,4
2022-10-25 00:00:00+00:00,3.0,2.0,19,5
2022-10-26 00:00:00+00:00,,,17,3
2022-10-27 00:00:00+00:00,,,13,8
2022-10-28 00:00:00+00:00,1.0,1.0,13,5
2022-10-29 00:00:00+00:00,3.0,2.0,2,2
2022-10-30 00:00:00+00:00,,,6,3
