time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-01 00:00:00+00:00,1.0,1.0,21,3
2023-05-02 00:00:00+00:00,,,6,1
2023-05-03 00:00:00+00:00,1.0,1.0,15,4
2023-05-04 00:00:00+00:00,1.0,1.0,2,2
2023-05-05 00:00:00+00:00,,,7,5
2023-05-07 00:00:00+00:00,,,19,2
2023-05-08 00:00:00+00:00,3.0,2.0,8,5
2023-05-09 00:00:00+00:00,,,94,9
2023-05-10 00:00:00+00:00,,,2,2
2023-05-11 00:00:00+00:00,,,26,2
2023-05-12 00:00:00+00:00,,,1,1
2023-05-13 00:00:00+00:00,,,2,1
2023-05-14 00:00:00+00:00,,,75,5
