time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-29 00:00:00+00:00,9,1,,
2024-05-30 00:00:00+00:00,20,1,1.0,1.0
2024-05-31 00:00:00+00:00,10,2,1.0,1.0
2024-06-01 00:00:00+00:00,2,1,,
2024-06-03 00:00:00+00:00,25,2,,
2024-06-04 00:00:00+00:00,26,2,,
2024-06-05 00:00:00+00:00,83,47,1.0,1.0
2024-06-06 00:00:00+00:00,80,62,,
2024-06-07 00:00:00+00:00,17,2,,
2024-06-08 00:00:00+00:00,3,2,,
2024-06-09 00:00:00+00:00,1,1,,
2024-06-10 00:00:00+00:00,16,1,,
2024-06-11 00:00:00+00:00,21,2,,
2024-06-12 00:00:00+00:00,2,1,,
