time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-12 00:00:00+00:00,,,13.0,10.0
2022-05-13 00:00:00+00:00,4.0,4.0,31.0,13.0
2022-05-14 00:00:00+00:00,,,2.0,1.0
2022-05-15 00:00:00+00:00,,,11.0,6.0
2022-05-16 00:00:00+00:00,4.0,4.0,28.0,13.0
2022-05-17 00:00:00+00:00,,,11.0,9.0
2022-05-18 00:00:00+00:00,,,2.0,2.0
2022-05-19 00:00:00+00:00,,,15.0,4.0
2022-05-20 00:00:00+00:00,3.0,2.0,23.0,3.0
2022-05-21 00:00:00+00:00,,,3.0,2.0
2022-05-22 00:00:00+00:00,,,1.0,1.0
2022-05-23 00:00:00+00:00,1.0,1.0,11.0,3.0
2022-05-24 00:00:00+00:00,,,4.0,1.0
2022-05-25 00:00:00+00:00,1.0,1.0,10.0,6.0
2022-05-26 00:00:00+00:00,2.0,1.0,,
