time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-02 00:00:00+00:00,1.0,1.0,35,6
2024-02-03 00:00:00+00:00,1.0,1.0,2,2
2024-02-04 00:00:00+00:00,,,3,1
2024-02-05 00:00:00+00:00,,,8,4
2024-02-06 00:00:00+00:00,1.0,1.0,29,2
2024-02-07 00:00:00+00:00,,,2,1
2024-02-09 00:00:00+00:00,,,9,3
2024-02-10 00:00:00+00:00,,,2,2
2024-02-11 00:00:00+00:00,,,6,1
2024-02-12 00:00:00+00:00,,,14,5
2024-02-13 00:00:00+00:00,,,6,5
2024-02-14 00:00:00+00:00,1.0,1.0,6,3
2024-02-15 00:00:00+00:00,,,9,1
2024-02-16 00:00:00+00:00,,,2,1
