time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-01 00:00:00+00:00,,,9,5
2024-11-02 00:00:00+00:00,,,16,4
2024-11-03 00:00:00+00:00,1.0,1.0,5,4
2024-11-04 00:00:00+00:00,1.0,1.0,15,8
2024-11-05 00:00:00+00:00,,,10,5
2024-11-06 00:00:00+00:00,,,15,13
2024-11-07 00:00:00+00:00,,,15,7
2024-11-08 00:00:00+00:00,,,9,4
2024-11-09 00:00:00+00:00,,,2,2
2024-11-10 00:00:00+00:00,,,15,1
2024-11-11 00:00:00+00:00,,,5,5
2024-11-12 00:00:00+00:00,,,5,5
2024-11-13 00:00:00+00:00,,,5,3
2024-11-14 00:00:00+00:00,,,2,2
2024-11-15 00:00:00+00:00,,,4,2
