time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-15 00:00:00+00:00,,,4.0,3.0
2021-11-16 00:00:00+00:00,2.0,2.0,10.0,5.0
2021-11-17 00:00:00+00:00,,,18.0,2.0
2021-11-18 00:00:00+00:00,,,5.0,3.0
2021-11-19 00:00:00+00:00,,,4.0,3.0
2021-11-20 00:00:00+00:00,,,1.0,1.0
2021-11-21 00:00:00+00:00,1.0,1.0,1.0,1.0
2021-11-22 00:00:00+00:00,,,5.0,2.0
2021-11-23 00:00:00+00:00,1.0,1.0,2.0,2.0
2021-11-24 00:00:00+00:00,3.0,3.0,21.0,8.0
2021-11-25 00:00:00+00:00,1.0,1.0,,
2021-11-26 00:00:00+00:00,,,2.0,1.0
2021-11-27 00:00:00+00:00,,,1.0,1.0
2021-11-28 00:00:00+00:00,,,4.0,2.0
