time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-09 00:00:00+00:00,,,1,1
2024-06-10 00:00:00+00:00,,,25,4
2024-06-11 00:00:00+00:00,,,6,3
2024-06-12 00:00:00+00:00,1.0,1.0,47,7
2024-06-13 00:00:00+00:00,5.0,4.0,39,5
2024-06-14 00:00:00+00:00,2.0,2.0,10,5
2024-06-15 00:00:00+00:00,,,1,1
2024-06-16 00:00:00+00:00,,,80,4
2024-06-17 00:00:00+00:00,,,18,7
2024-06-18 00:00:00+00:00,,,8,4
2024-06-19 00:00:00+00:00,1.0,1.0,63,10
2024-06-20 00:00:00+00:00,1.0,1.0,6,3
2024-06-21 00:00:00+00:00,,,27,4
2024-06-22 00:00:00+00:00,,,1,1
