time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-16 00:00:00+00:00,52,32,6.0,2.0
2021-12-17 00:00:00+00:00,28,14,,
2021-12-18 00:00:00+00:00,14,12,,
2021-12-19 00:00:00+00:00,11,9,,
2021-12-20 00:00:00+00:00,46,24,3.0,2.0
2021-12-21 00:00:00+00:00,41,17,,
2021-12-22 00:00:00+00:00,38,23,,
2021-12-23 00:00:00+00:00,11,9,1.0,1.0
2021-12-24 00:00:00+00:00,14,12,15.0,1.0
2021-12-25 00:00:00+00:00,11,9,,
2021-12-26 00:00:00+00:00,19,12,,
2021-12-27 00:00:00+00:00,21,19,3.0,3.0
2021-12-28 00:00:00+00:00,31,13,,
2021-12-29 00:00:00+00:00,15,11,1.0,1.0
2021-12-30 00:00:00+00:00,5,3,,
