time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-16 00:00:00+00:00,15,6,1.0,1.0
2024-05-17 00:00:00+00:00,56,15,7.0,1.0
2024-05-18 00:00:00+00:00,32,13,,
2024-05-19 00:00:00+00:00,20,12,3.0,2.0
2024-05-20 00:00:00+00:00,102,30,2.0,1.0
2024-05-21 00:00:00+00:00,96,25,22.0,2.0
2024-05-22 00:00:00+00:00,68,24,10.0,2.0
2024-05-23 00:00:00+00:00,64,25,,
2024-05-24 00:00:00+00:00,57,22,1.0,1.0
2024-05-25 00:00:00+00:00,17,12,1.0,1.0
2024-05-26 00:00:00+00:00,63,14,,
2024-05-27 00:00:00+00:00,37,15,1.0,1.0
2024-05-28 00:00:00+00:00,49,22,9.0,9.0
2024-05-29 00:00:00+00:00,121,32,11.0,2.0
2024-05-30 00:00:00+00:00,28,12,1.0,1.0
