time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-12 00:00:00+00:00,2,2,7.0,1.0
2024-02-13 00:00:00+00:00,36,16,29.0,9.0
2024-02-14 00:00:00+00:00,92,20,2.0,2.0
2024-02-15 00:00:00+00:00,113,31,23.0,5.0
2024-02-16 00:00:00+00:00,59,26,11.0,3.0
2024-02-17 00:00:00+00:00,16,12,,
2024-02-18 00:00:00+00:00,20,12,,
2024-02-19 00:00:00+00:00,82,18,3.0,3.0
2024-02-20 00:00:00+00:00,66,28,6.0,4.0
2024-02-21 00:00:00+00:00,42,18,2.0,2.0
2024-02-22 00:00:00+00:00,47,19,3.0,2.0
2024-02-23 00:00:00+00:00,16,10,1.0,1.0
2024-02-24 00:00:00+00:00,10,9,,
2024-02-25 00:00:00+00:00,42,12,,
2024-02-26 00:00:00+00:00,77,12,8.0,2.0
