time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-05 00:00:00+00:00,2,1,,
2024-07-06 00:00:00+00:00,1,1,,
2024-07-07 00:00:00+00:00,2,2,11.0,2.0
2024-07-08 00:00:00+00:00,1,1,2.0,2.0
2024-07-09 00:00:00+00:00,13,6,73.0,6.0
2024-07-10 00:00:00+00:00,11,3,1.0,1.0
2024-07-11 00:00:00+00:00,5,3,9.0,2.0
2024-07-12 00:00:00+00:00,1,1,10.0,3.0
2024-07-13 00:00:00+00:00,8,2,1.0,1.0
2024-07-14 00:00:00+00:00,4,2,1.0,1.0
2024-07-15 00:00:00+00:00,6,4,14.0,5.0
2024-07-16 00:00:00+00:00,18,5,22.0,3.0
2024-07-17 00:00:00+00:00,25,7,3.0,1.0
2024-07-18 00:00:00+00:00,1,1,8.0,4.0
2024-07-19 00:00:00+00:00,6,4,9.0,3.0
