time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-02 00:00:00+00:00,52,31,2377,417
2023-11-03 00:00:00+00:00,352,32,1840,403
2023-11-04 00:00:00+00:00,30,20,770,137
2023-11-05 00:00:00+00:00,33,23,808,188
2023-11-06 00:00:00+00:00,114,37,2599,523
2023-11-07 00:00:00+00:00,132,48,2381,500
2023-11-08 00:00:00+00:00,91,45,2788,438
2023-11-09 00:00:00+00:00,95,36,2407,462
2023-11-10 00:00:00+00:00,92,48,2192,427
2023-11-11 00:00:00+00:00,33,20,874,134
2023-11-12 00:00:00+00:00,44,22,930,117
2023-11-13 00:00:00+00:00,90,51,2768,392
2023-11-14 00:00:00+00:00,106,61,2327,436
2023-11-15 00:00:00+00:00,152,54,3424,352
2023-11-16 00:00:00+00:00,16,10,674,132
