time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-16 00:00:00+00:00,40,11,1.0,1.0
2022-06-17 00:00:00+00:00,17,10,1.0,1.0
2022-06-18 00:00:00+00:00,11,9,2.0,2.0
2022-06-19 00:00:00+00:00,11,9,2.0,2.0
2022-06-20 00:00:00+00:00,59,11,10.0,3.0
2022-06-21 00:00:00+00:00,220,20,1.0,1.0
2022-06-22 00:00:00+00:00,179,19,,
2022-06-23 00:00:00+00:00,210,24,12.0,2.0
2022-06-24 00:00:00+00:00,65,16,3.0,1.0
2022-06-25 00:00:00+00:00,12,10,1.0,1.0
2022-06-26 00:00:00+00:00,11,9,2.0,2.0
2022-06-27 00:00:00+00:00,26,12,2.0,2.0
2022-06-28 00:00:00+00:00,62,16,7.0,2.0
2022-06-29 00:00:00+00:00,82,21,6.0,1.0
2022-06-30 00:00:00+00:00,18,5,2.0,2.0
