time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-29 00:00:00+00:00,2.0,2.0,2.0,2.0
2021-11-30 00:00:00+00:00,11.0,8.0,2.0,1.0
2021-12-01 00:00:00+00:00,9.0,7.0,,
2021-12-02 00:00:00+00:00,12.0,10.0,,
2021-12-03 00:00:00+00:00,18.0,12.0,1.0,1.0
2021-12-05 00:00:00+00:00,1.0,1.0,,
2021-12-06 00:00:00+00:00,10.0,8.0,73.0,2.0
2021-12-07 00:00:00+00:00,20.0,12.0,22.0,5.0
2021-12-08 00:00:00+00:00,20.0,10.0,1.0,1.0
2021-12-09 00:00:00+00:00,7.0,6.0,,
2021-12-10 00:00:00+00:00,7.0,5.0,16.0,2.0
2021-12-11 00:00:00+00:00,8.0,7.0,,
2021-12-12 00:00:00+00:00,,,18.0,1.0
