time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-20 00:00:00+00:00,35,15,6.0,3.0
2021-12-21 00:00:00+00:00,41,17,,
2021-12-22 00:00:00+00:00,28,21,,
2021-12-23 00:00:00+00:00,11,9,,
2021-12-24 00:00:00+00:00,13,11,,
2021-12-25 00:00:00+00:00,11,9,,
2021-12-26 00:00:00+00:00,19,12,,
2021-12-27 00:00:00+00:00,21,19,,
2021-12-28 00:00:00+00:00,31,13,,
2021-12-29 00:00:00+00:00,15,11,,
2021-12-30 00:00:00+00:00,36,14,6.0,1.0
2021-12-31 00:00:00+00:00,18,11,1.0,1.0
2022-01-01 00:00:00+00:00,11,9,,
2022-01-02 00:00:00+00:00,12,10,,
2022-01-03 00:00:00+00:00,6,4,,
