time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-16 00:00:00+00:00,220,14,3.0,2.0
2022-05-17 00:00:00+00:00,109,14,5.0,4.0
2022-05-18 00:00:00+00:00,118,22,1.0,1.0
2022-05-19 00:00:00+00:00,100,14,5.0,3.0
2022-05-20 00:00:00+00:00,271,20,7.0,1.0
2022-05-21 00:00:00+00:00,63,16,,
2022-05-22 00:00:00+00:00,38,13,,
2022-05-23 00:00:00+00:00,93,20,3.0,1.0
2022-05-24 00:00:00+00:00,100,17,73.0,5.0
2022-05-25 00:00:00+00:00,150,21,8.0,3.0
2022-05-26 00:00:00+00:00,163,19,2.0,2.0
2022-05-27 00:00:00+00:00,203,13,,
2022-05-28 00:00:00+00:00,59,13,,
2022-05-29 00:00:00+00:00,11,9,,
2022-05-30 00:00:00+00:00,5,3,,
