time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-21 00:00:00+00:00,1.0,1.0,1,1
2022-11-22 00:00:00+00:00,,,11,3
2022-11-23 00:00:00+00:00,2.0,1.0,1,1
2022-11-24 00:00:00+00:00,,,8,4
2022-11-25 00:00:00+00:00,3.0,3.0,1,1
2022-11-26 00:00:00+00:00,,,2,1
2022-11-27 00:00:00+00:00,,,27,4
2022-11-28 00:00:00+00:00,,,33,5
2022-11-29 00:00:00+00:00,,,30,7
2022-11-30 00:00:00+00:00,,,10,3
2022-12-01 00:00:00+00:00,,,32,2
2022-12-02 00:00:00+00:00,,,13,4
2022-12-03 00:00:00+00:00,,,2,2
2022-12-04 00:00:00+00:00,,,7,4
