time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-23 00:00:00+00:00,,,23,2
2025-04-24 00:00:00+00:00,,,3,2
2025-04-25 00:00:00+00:00,,,6,4
2025-04-26 00:00:00+00:00,,,3,2
2025-04-27 00:00:00+00:00,1.0,1.0,23,6
2025-04-28 00:00:00+00:00,1.0,1.0,10,6
2025-04-29 00:00:00+00:00,1.0,1.0,5,4
2025-04-30 00:00:00+00:00,1.0,1.0,5,4
2025-05-01 00:00:00+00:00,1.0,1.0,3,2
2025-05-02 00:00:00+00:00,,,20,7
2025-05-03 00:00:00+00:00,,,2,1
2025-05-04 00:00:00+00:00,,,9,2
2025-05-05 00:00:00+00:00,,,26,7
2025-05-06 00:00:00+00:00,,,2,2
